,ORIGIN_AIRPORT,delay,date
255,SJT,3,2015-12-18
256,SJU,37,2015-12-18
257,SLC,172,2015-12-18
258,SMF,45,2015-12-18
259,SNA,52,2015-12-18
260,SPI,5,2015-12-18
261,SPS,2,2015-12-18
262,SRQ,7,2015-12-18
263,STL,60,2015-12-18
264,STT,10,2015-12-18
265,STX,2,2015-12-18
266,SUN,1,2015-12-18
267,SWF,2,2015-12-18
268,SYR,13,2015-12-18
269,TLH,8,2015-12-18
270,TOL,2,2015-12-18
271,TPA,86,2015-12-18
272,TRI,6,2015-12-18
273,TTN,5,2015-12-18
274,TUL,23,2015-12-18
275,TUS,25,2015-12-18
276,TVC,5,2015-12-18
277,TXK,2,2015-12-18
278,TYR,4,2015-12-18
279,TYS,10,2015-12-18
280,VLD,3,2015-12-18
281,VPS,10,2015-12-18
282,WRG,2,2015-12-18
283,XNA,22,2015-12-18
284,YAK,2,2015-12-18
285,YUM,4,2015-12-18
286,ABE,1,2015-12-19
287,ABI,5,2015-12-19
288,ABQ,18,2015-12-19
289,ABY,2,2015-12-19
290,ACT,5,2015-12-19
291,ACV,2,2015-12-19
292,ACY,6,2015-12-19
293,AEX,6,2015-12-19
294,AGS,3,2015-12-19
295,ALB,14,2015-12-19
296,ALO,1,2015-12-19
297,AMA,6,2015-12-19
298,ANC,30,2015-12-19
299,ASE,10,2015-12-19
300,ATL,464,2015-12-19
301,ATW,3,2015-12-19
302,AUS,55,2015-12-19
303,AVL,6,2015-12-19
304,AVP,4,2015-12-19
305,AZO,2,2015-12-19
306,BDL,23,2015-12-19
307,BET,1,2015-12-19
308,BFL,3,2015-12-19
309,BGM,1,2015-12-19
310,BHM,14,2015-12-19
311,BIL,9,2015-12-19
312,BIS,10,2015-12-19
313,BJI,2,2015-12-19
314,BLI,2,2015-12-19
315,BMI,5,2015-12-19
316,BNA,57,2015-12-19
317,BOI,26,2015-12-19
318,BOS,97,2015-12-19
319,BPT,2,2015-12-19
320,BQK,2,2015-12-19
321,BQN,2,2015-12-19
322,BRD,1,2015-12-19
323,BRO,7,2015-12-19
324,BRW,2,2015-12-19
325,BTM,1,2015-12-19
326,BTR,12,2015-12-19
327,BTV,7,2015-12-19
328,BUF,22,2015-12-19
329,BUR,23,2015-12-19
330,BWI,65,2015-12-19
331,BZN,16,2015-12-19
332,CAE,6,2015-12-19
333,CAK,11,2015-12-19
334,CDC,1,2015-12-19
335,CDV,1,2015-12-19
336,CHA,6,2015-12-19
337,CHO,3,2015-12-19
338,CHS,18,2015-12-19
339,CID,8,2015-12-19
340,CIU,2,2015-12-19
341,CLE,40,2015-12-19
342,CLL,4,2015-12-19
343,CLT,126,2015-12-19
344,CMH,30,2015-12-19
345,CMI,3,2015-12-19
346,CMX,2,2015-12-19
347,COD,2,2015-12-19
348,COS,10,2015-12-19
349,COU,2,2015-12-19
350,CPR,3,2015-12-19
351,CRP,9,2015-12-19
352,CRW,4,2015-12-19
353,CSG,2,2015-12-19
354,CVG,39,2015-12-19
355,CWA,2,2015-12-19
356,DAB,4,2015-12-19
357,DAL,81,2015-12-19
358,DAY,12,2015-12-19
359,DBQ,2,2015-12-19
360,DCA,93,2015-12-19
361,DEN,254,2015-12-19
362,DFW,373,2015-12-19
363,DHN,2,2015-12-19
364,DLH,3,2015-12-19
365,DRO,7,2015-12-19
366,DSM,11,2015-12-19
367,DTW,133,2015-12-19
368,EAU,1,2015-12-19
369,ECP,10,2015-12-19
370,EGE,3,2015-12-19
371,EKO,1,2015-12-19
372,ELM,3,2015-12-19
373,ELP,17,2015-12-19
374,EUG,4,2015-12-19
375,EVV,9,2015-12-19
376,EWN,1,2015-12-19
377,EWR,118,2015-12-19
378,EYW,6,2015-12-19
379,FAI,3,2015-12-19
380,FAR,11,2015-12-19
381,FAT,12,2015-12-19
382,FAY,2,2015-12-19
383,FCA,5,2015-12-19
384,FLG,6,2015-12-19
385,FLL,138,2015-12-19
386,FNT,7,2015-12-19
387,FSD,8,2015-12-19
388,FSM,4,2015-12-19
389,FWA,9,2015-12-19
390,GCC,2,2015-12-19
391,GCK,2,2015-12-19
392,GEG,11,2015-12-19
393,GFK,4,2015-12-19
394,GGG,1,2015-12-19
395,GJT,8,2015-12-19
396,GNV,3,2015-12-19
397,GPT,8,2015-12-19
398,GRB,10,2015-12-19
399,GRI,2,2015-12-19
400,GRK,10,2015-12-19
401,GRR,15,2015-12-19
402,GSO,5,2015-12-19
403,GSP,10,2015-12-19
404,GTF,4,2015-12-19
405,GTR,1,2015-12-19
406,GUC,4,2015-12-19
407,HDN,6,2015-12-19
408,HIB,1,2015-12-19
409,HLN,2,2015-12-19
410,HNL,77,2015-12-19
411,HOU,50,2015-12-19
412,HPN,3,2015-12-19
413,HRL,4,2015-12-19
414,HSV,6,2015-12-19
415,HYS,1,2015-12-19
416,IAD,41,2015-12-19
417,IAG,1,2015-12-19
418,IAH,203,2015-12-19
419,ICT,19,2015-12-19
420,IDA,5,2015-12-19
421,ILM,4,2015-12-19
422,IMT,2,2015-12-19
423,IND,38,2015-12-19
424,INL,2,2015-12-19
425,ISN,3,2015-12-19
426,ISP,7,2015-12-19
427,ITO,8,2015-12-19
428,JAC,12,2015-12-19
429,JAN,13,2015-12-19
430,JAX,22,2015-12-19
431,JFK,75,2015-12-19
432,JLN,2,2015-12-19
433,JNU,7,2015-12-19
434,KOA,23,2015-12-19
435,KTN,4,2015-12-19
436,LAN,5,2015-12-19
437,LAR,1,2015-12-19
438,LAS,166,2015-12-19
439,LAW,3,2015-12-19
440,LAX,137,2015-12-19
441,LBB,12,2015-12-19
442,LCH,5,2015-12-19
443,LEX,12,2015-12-19
444,LFT,7,2015-12-19
445,LGA,88,2015-12-19
446,LGB,15,2015-12-19
447,LIH,30,2015-12-19
448,LIT,15,2015-12-19
449,LNK,6,2015-12-19
450,LRD,5,2015-12-19
451,LSE,5,2015-12-19
452,LWS,1,2015-12-19
453,MAF,9,2015-12-19
454,MBS,1,2015-12-19
455,MCI,42,2015-12-19
456,MCO,189,2015-12-19
457,MDT,8,2015-12-19
458,MDW,74,2015-12-19
459,MEI,2,2015-12-19
460,MEM,26,2015-12-19
461,MFE,6,2015-12-19
462,MFR,5,2015-12-19
463,MGM,3,2015-12-19
464,MHK,4,2015-12-19
465,MHT,9,2015-12-19
466,MIA,111,2015-12-19
467,MKE,39,2015-12-19
468,MKG,2,2015-12-19
469,MLB,3,2015-12-19
470,MLI,7,2015-12-19
