,ORIGIN_AIRPORT,count,date
448,ILM,5,2015-12-19
449,IMT,2,2015-12-19
450,IND,66,2015-12-19
451,INL,2,2015-12-19
452,ISN,4,2015-12-19
453,ISP,12,2015-12-19
454,ITH,1,2015-12-19
455,ITO,15,2015-12-19
456,JAC,22,2015-12-19
457,JAN,17,2015-12-19
458,JAX,53,2015-12-19
459,JFK,271,2015-12-19
460,JLN,2,2015-12-19
461,JMS,1,2015-12-19
462,JNU,10,2015-12-19
463,KOA,37,2015-12-19
464,KTN,6,2015-12-19
465,LAN,7,2015-12-19
466,LAR,1,2015-12-19
467,LAS,378,2015-12-19
468,LAW,4,2015-12-19
469,LAX,542,2015-12-19
470,LBB,14,2015-12-19
471,LBE,3,2015-12-19
472,LCH,5,2015-12-19
473,LEX,12,2015-12-19
474,LFT,13,2015-12-19
475,LGA,212,2015-12-19
476,LGB,25,2015-12-19
477,LIH,37,2015-12-19
478,LIT,27,2015-12-19
479,LNK,8,2015-12-19
480,LRD,5,2015-12-19
481,LSE,5,2015-12-19
482,LWS,2,2015-12-19
483,MAF,11,2015-12-19
484,MBS,4,2015-12-19
485,MCI,86,2015-12-19
486,MCO,388,2015-12-19
487,MDT,8,2015-12-19
488,MDW,205,2015-12-19
489,MEI,2,2015-12-19
490,MEM,35,2015-12-19
491,MFE,6,2015-12-19
492,MFR,7,2015-12-19
493,MGM,7,2015-12-19
494,MHK,5,2015-12-19
495,MHT,16,2015-12-19
496,MIA,221,2015-12-19
497,MKE,66,2015-12-19
498,MKG,2,2015-12-19
499,MLB,5,2015-12-19
500,MLI,10,2015-12-19
501,MLU,8,2015-12-19
502,MMH,2,2015-12-19
503,MOB,14,2015-12-19
504,MOT,5,2015-12-19
505,MQT,1,2015-12-19
506,MRY,7,2015-12-19
507,MSN,24,2015-12-19
508,MSO,5,2015-12-19
509,MSP,311,2015-12-19
510,MSY,102,2015-12-19
511,MTJ,10,2015-12-19
512,MYR,9,2015-12-19
513,OAJ,3,2015-12-19
514,OAK,107,2015-12-19
515,OGG,71,2015-12-19
516,OKC,41,2015-12-19
517,OMA,44,2015-12-19
518,OME,2,2015-12-19
519,ONT,48,2015-12-19
520,ORD,749,2015-12-19
521,ORF,26,2015-12-19
522,ORH,2,2015-12-19
523,OTZ,2,2015-12-19
524,PAH,2,2015-12-19
525,PBG,1,2015-12-19
526,PBI,88,2015-12-19
527,PDX,140,2015-12-19
528,PHF,3,2015-12-19
529,PHL,180,2015-12-19
530,PHX,432,2015-12-19
531,PIA,13,2015-12-19
532,PIB,1,2015-12-19
533,PIH,1,2015-12-19
534,PIT,55,2015-12-19
535,PLN,2,2015-12-19
536,PNS,17,2015-12-19
537,PSC,8,2015-12-19
538,PSE,3,2015-12-19
539,PSG,2,2015-12-19
540,PSP,35,2015-12-19
541,PVD,30,2015-12-19
542,PWM,16,2015-12-19
543,RAP,9,2015-12-19
544,RDD,2,2015-12-19
545,RDM,6,2015-12-19
546,RDU,81,2015-12-19
547,RHI,2,2015-12-19
548,RIC,33,2015-12-19
549,RKS,1,2015-12-19
550,RNO,34,2015-12-19
551,ROA,6,2015-12-19
552,ROC,19,2015-12-19
553,ROW,3,2015-12-19
554,RST,4,2015-12-19
555,RSW,115,2015-12-19
556,SAF,3,2015-12-19
557,SAN,190,2015-12-19
558,SAT,75,2015-12-19
559,SAV,21,2015-12-19
560,SBA,14,2015-12-19
561,SBN,14,2015-12-19
562,SBP,8,2015-12-19
563,SCC,3,2015-12-19
564,SCE,3,2015-12-19
565,SDF,24,2015-12-19
566,SEA,334,2015-12-19
567,SFO,435,2015-12-19
568,SGF,16,2015-12-19
569,SGU,5,2015-12-19
570,SHV,18,2015-12-19
571,SIT,3,2015-12-19
572,SJC,86,2015-12-19
573,SJT,5,2015-12-19
574,SJU,102,2015-12-19
575,SLC,304,2015-12-19
576,SMF,93,2015-12-19
577,SMX,2,2015-12-19
578,SNA,93,2015-12-19
579,SPI,5,2015-12-19
580,SPS,3,2015-12-19
581,SRQ,14,2015-12-19
582,STL,120,2015-12-19
583,STT,22,2015-12-19
584,STX,5,2015-12-19
585,SUN,5,2015-12-19
586,SUX,1,2015-12-19
587,SWF,2,2015-12-19
588,SYR,14,2015-12-19
589,TLH,7,2015-12-19
590,TOL,2,2015-12-19
591,TPA,197,2015-12-19
592,TRI,5,2015-12-19
593,TTN,9,2015-12-19
594,TUL,32,2015-12-19
595,TUS,48,2015-12-19
596,TVC,7,2015-12-19
597,TWF,2,2015-12-19
598,TXK,3,2015-12-19
599,TYR,5,2015-12-19
600,TYS,15,2015-12-19
601,UST,1,2015-12-19
602,VLD,2,2015-12-19
603,VPS,15,2015-12-19
604,WRG,2,2015-12-19
605,XNA,21,2015-12-19
606,YAK,2,2015-12-19
607,YUM,5,2015-12-19
608,ABE,3,2015-12-20
609,ABI,7,2015-12-20
610,ABQ,54,2015-12-20
611,ABR,2,2015-12-20
612,ABY,2,2015-12-20
613,ACT,5,2015-12-20
614,ACV,4,2015-12-20
615,ACY,10,2015-12-20
616,ADK,1,2015-12-20
617,ADQ,1,2015-12-20
618,AEX,10,2015-12-20
619,AGS,7,2015-12-20
620,ALB,22,2015-12-20
621,ALO,2,2015-12-20
622,AMA,8,2015-12-20
623,ANC,44,2015-12-20
624,APN,1,2015-12-20
625,ASE,30,2015-12-20
626,ATL,1041,2015-12-20
627,ATW,8,2015-12-20
628,AUS,125,2015-12-20
629,AVL,8,2015-12-20
630,AVP,3,2015-12-20
631,AZO,6,2015-12-20
632,BDL,54,2015-12-20
633,BET,2,2015-12-20
634,BFL,7,2015-12-20
635,BGM,1,2015-12-20
636,BGR,1,2015-12-20
637,BHM,33,2015-12-20
638,BIL,11,2015-12-20
639,BIS,12,2015-12-20
640,BJI,2,2015-12-20
641,BLI,4,2015-12-20
642,BMI,8,2015-12-20
643,BNA,137,2015-12-20
644,BOI,41,2015-12-20
645,BOS,282,2015-12-20
646,BPT,3,2015-12-20
647,BQK,3,2015-12-20
648,BQN,5,2015-12-20
649,BRD,1,2015-12-20
650,BRO,7,2015-12-20
651,BRW,2,2015-12-20
652,BTM,2,2015-12-20
653,BTR,18,2015-12-20
654,BTV,11,2015-12-20
655,BUF,44,2015-12-20
656,BUR,53,2015-12-20
657,BWI,254,2015-12-20
658,BZN,14,2015-12-20
659,CAE,11,2015-12-20
660,CAK,15,2015-12-20
661,CDC,1,2015-12-20
662,CDV,2,2015-12-20
663,CHA,10,2015-12-20
664,CHO,6,2015-12-20
665,CHS,36,2015-12-20
666,CID,18,2015-12-20
667,CIU,2,2015-12-20
668,CLE,90,2015-12-20
669,CLL,5,2015-12-20
670,CLT,292,2015-12-20
671,CMH,64,2015-12-20
672,CMI,7,2015-12-20
673,CMX,2,2015-12-20
674,COD,2,2015-12-20
675,COS,22,2015-12-20
676,COU,4,2015-12-20
677,CPR,5,2015-12-20
678,CRP,10,2015-12-20
679,CRW,7,2015-12-20
680,CSG,2,2015-12-20
681,CVG,57,2015-12-20
682,CWA,2,2015-12-20
683,DAB,5,2015-12-20
684,DAL,188,2015-12-20
685,DAY,21,2015-12-20
686,DBQ,3,2015-12-20
687,DCA,197,2015-12-20
688,DEN,623,2015-12-20
689,DFW,676,2015-12-20
690,DHN,4,2015-12-20
691,DLH,5,2015-12-20
692,DRO,5,2015-12-20
693,DSM,26,2015-12-20
694,DTW,290,2015-12-20
695,DVL,1,2015-12-20
696,EAU,2,2015-12-20
697,ECP,10,2015-12-20
698,EGE,13,2015-12-20
699,EKO,1,2015-12-20
700,ELM,4,2015-12-20
701,ELP,37,2015-12-20
702,ERI,2,2015-12-20
703,ESC,1,2015-12-20
704,EUG,11,2015-12-20
705,EVV,10,2015-12-20
706,EWN,2,2015-12-20
707,EWR,312,2015-12-20
708,EYW,6,2015-12-20
709,FAI,6,2015-12-20
710,FAR,20,2015-12-20
711,FAT,21,2015-12-20
712,FAY,4,2015-12-20
713,FCA,6,2015-12-20
714,FLG,6,2015-12-20
715,FLL,270,2015-12-20
716,FNT,12,2015-12-20
717,FSD,11,2015-12-20
718,FSM,6,2015-12-20
719,FWA,15,2015-12-20
720,GCC,3,2015-12-20
721,GCK,2,2015-12-20
722,GEG,30,2015-12-20
723,GFK,4,2015-12-20
724,GGG,2,2015-12-20
725,GJT,12,2015-12-20
726,GNV,8,2015-12-20
727,GPT,8,2015-12-20
728,GRB,12,2015-12-20
729,GRI,2,2015-12-20
730,GRK,11,2015-12-20
731,GRR,30,2015-12-20
732,GSO,11,2015-12-20
733,GSP,19,2015-12-20
734,GTF,5,2015-12-20
735,GTR,2,2015-12-20
736,GUC,5,2015-12-20
737,GUM,1,2015-12-20
738,HDN,11,2015-12-20
739,HIB,2,2015-12-20
740,HLN,4,2015-12-20
741,HNL,136,2015-12-20
742,HOB,2,2015-12-20
743,HOU,156,2015-12-20
744,HPN,19,2015-12-20
745,HRL,8,2015-12-20
746,HSV,13,2015-12-20
747,HYS,1,2015-12-20
748,IAD,93,2015-12-20
749,IAG,1,2015-12-20
750,IAH,407,2015-12-20
751,ICT,24,2015-12-20
752,IDA,7,2015-12-20
753,ILM,5,2015-12-20
754,IMT,1,2015-12-20
755,IND,78,2015-12-20
756,INL,2,2015-12-20
757,ISN,6,2015-12-20
758,ISP,12,2015-12-20
759,ITH,2,2015-12-20
760,ITO,15,2015-12-20
761,JAC,21,2015-12-20
762,JAN,19,2015-12-20
763,JAX,56,2015-12-20
764,JFK,292,2015-12-20
765,JLN,2,2015-12-20
766,JMS,2,2015-12-20
767,JNU,11,2015-12-20
768,KOA,36,2015-12-20
769,KTN,6,2015-12-20
770,LAN,5,2015-12-20
771,LAR,1,2015-12-20
772,LAS,405,2015-12-20
773,LAW,4,2015-12-20
774,LAX,577,2015-12-20
775,LBB,14,2015-12-20
776,LBE,3,2015-12-20
777,LCH,5,2015-12-20
