,MONTH,DAY,ORIGIN_AIRPORT,count,year,date
232,12,18,PNS,19,2015,2015-12-18
233,12,18,PPG,1,2015,2015-12-18
234,12,18,PSC,11,2015,2015-12-18
235,12,18,PSE,3,2015,2015-12-18
236,12,18,PSG,2,2015,2015-12-18
237,12,18,PSP,27,2015,2015-12-18
238,12,18,PVD,40,2015,2015-12-18
239,12,18,PWM,16,2015,2015-12-18
240,12,18,RAP,8,2015,2015-12-18
241,12,18,RDD,2,2015,2015-12-18
242,12,18,RDM,7,2015,2015-12-18
243,12,18,RDU,103,2015,2015-12-18
244,12,18,RHI,3,2015,2015-12-18
245,12,18,RIC,48,2015,2015-12-18
246,12,18,RKS,2,2015,2015-12-18
247,12,18,RNO,39,2015,2015-12-18
248,12,18,ROA,7,2015,2015-12-18
249,12,18,ROC,24,2015,2015-12-18
250,12,18,ROW,3,2015,2015-12-18
251,12,18,RST,6,2015,2015-12-18
252,12,18,RSW,98,2015,2015-12-18
253,12,18,SAF,3,2015,2015-12-18
254,12,18,SAN,217,2015,2015-12-18
255,12,18,SAT,91,2015,2015-12-18
256,12,18,SAV,20,2015,2015-12-18
257,12,18,SBA,14,2015,2015-12-18
258,12,18,SBN,14,2015,2015-12-18
259,12,18,SBP,7,2015,2015-12-18
260,12,18,SCC,3,2015,2015-12-18
261,12,18,SCE,2,2015,2015-12-18
262,12,18,SDF,29,2015,2015-12-18
263,12,18,SEA,359,2015,2015-12-18
264,12,18,SFO,490,2015,2015-12-18
265,12,18,SGF,19,2015,2015-12-18
266,12,18,SGU,6,2015,2015-12-18
267,12,18,SHV,19,2015,2015-12-18
268,12,18,SIT,3,2015,2015-12-18
269,12,18,SJC,116,2015,2015-12-18
270,12,18,SJT,5,2015,2015-12-18
271,12,18,SJU,90,2015,2015-12-18
272,12,18,SLC,299,2015,2015-12-18
273,12,18,SMF,113,2015,2015-12-18
274,12,18,SMX,1,2015,2015-12-18
275,12,18,SNA,128,2015,2015-12-18
276,12,18,SPI,5,2015,2015-12-18
277,12,18,SPS,3,2015,2015-12-18
278,12,18,SRQ,12,2015,2015-12-18
279,12,18,STL,152,2015,2015-12-18
280,12,18,STT,17,2015,2015-12-18
281,12,18,STX,3,2015,2015-12-18
282,12,18,SUN,4,2015,2015-12-18
283,12,18,SUX,2,2015,2015-12-18
284,12,18,SWF,2,2015,2015-12-18
285,12,18,SYR,21,2015,2015-12-18
286,12,18,TLH,9,2015,2015-12-18
287,12,18,TOL,3,2015,2015-12-18
288,12,18,TPA,204,2015,2015-12-18
289,12,18,TRI,6,2015,2015-12-18
290,12,18,TTN,9,2015,2015-12-18
291,12,18,TUL,41,2015,2015-12-18
292,12,18,TUS,44,2015,2015-12-18
293,12,18,TVC,9,2015,2015-12-18
294,12,18,TWF,2,2015,2015-12-18
295,12,18,TXK,3,2015,2015-12-18
296,12,18,TYR,5,2015,2015-12-18
297,12,18,TYS,19,2015,2015-12-18
298,12,18,UST,1,2015,2015-12-18
